Entity,Year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
Algeria,1965,0.0,0.0,0.0,0.4
Algeria,1966,0.0,0.0,0.0,0.355
Algeria,1967,0.0,0.0,0.0,0.41
Algeria,1968,0.0,0.0,0.0,0.563
Algeria,1969,0.0,0.0,0.0,0.361
Algeria,1970,0.0,0.0,0.0,0.58
Algeria,1971,0.0,0.0,0.0,0.33
Algeria,1972,0.0,0.0,0.0,0.495
Algeria,1973,0.0,0.0,0.0,0.752
Algeria,1974,0.0,0.0,0.0,0.497
Algeria,1975,0.0,0.0,0.0,0.328
Algeria,1976,0.0,0.0,0.0,0.389
Algeria,1977,0.0,0.0,0.0,0.269
Algeria,1978,0.0,0.0,0.0,0.25
Algeria,1979,0.0,0.0,0.0,0.291
Algeria,1980,0.0,0.0,0.0,0.257
Algeria,1981,0.0,0.0,0.0,0.366
Algeria,1982,0.0,0.0,0.0,0.479
Algeria,1983,0.0,0.0,0.0,0.235
Algeria,1984,0.0,0.0,0.0,0.452
Algeria,1985,0.0,0.0,0.0,0.646
Algeria,1986,0.0,0.0,0.0,0.25
Algeria,1987,0.0,0.0,0.0,0.499
Algeria,1988,0.0,0.0,0.0,0.183
Algeria,1989,0.0,0.0,0.0,0.226
Algeria,1990,0.0,0.0,0.0,0.135
Algeria,1991,0.0,0.0,0.0,0.293
Algeria,1992,0.0,0.0,0.0,0.199
Algeria,1993,0.0,0.0,0.0,0.353
Algeria,1994,0.0,0.0,0.0,0.166
Algeria,1995,0.0,0.0,0.0,0.193
Algeria,1996,0.0,0.0,0.0,0.135
Algeria,1997,0.0,0.0,0.0,0.075
Algeria,1998,0.0,0.0,0.0,0.215
Algeria,1999,0.0,0.0,0.0,0.203
Algeria,2000,0.0,0.0,0.0,0.054
Algeria,2001,0.0,0.0,0.0,0.069
Algeria,2002,0.0,0.0,0.0,0.057
Algeria,2003,0.0,0.0,0.0,0.265
Algeria,2004,0.0,0.0,0.0,0.251
Algeria,2005,0.0,0.0,0.0,0.5553
Algeria,2006,0.0,0.0,0.0,0.2176
Algeria,2007,0.0,0.0,0.0,0.226
Algeria,2008,0.0,0.0,0.0,0.283
Algeria,2009,0.0,0.0,0.0,0.342
Algeria,2010,0.0,0.0091,0.0,0.173
Algeria,2011,0.0,0.01811875,0.0,0.378
Algeria,2012,0.0,0.026723014,0.0,0.389
Algeria,2013,0.0,0.0286,0.0,0.099
Algeria,2014,0.0,0.06,0.001,0.193
Algeria,2015,0.0,0.058,0.019,0.145
Algeria,2016,0.0,0.245,0.019052055,0.072
Algeria,2017,0.0,0.504,0.019,0.056
Algeria,2018,0.0,0.603,0.01,0.117
Algeria,2019,0.0,0.615,0.01,0.152
Algeria,2020,0.0,0.685,0.0077,0.0496
Algeria,2021,0.0,0.664,0.0105,0.0093
Argentina,1965,0.0,0.0,0.0,1.2251163
Argentina,1966,0.0,0.0,0.0,1.2409302
Argentina,1967,0.0,0.0,0.0,1.2706977
Argentina,1968,0.0,0.0,0.0,1.4976745
Argentina,1969,0.0,0.0,0.0,1.3432558
Argentina,1970,0.05624185,0.0,0.0,1.5571272
Argentina,1971,0.05899074,0.0,0.0,1.5461483
Argentina,1972,0.07602739,0.0,0.0,1.5026463
Argentina,1973,0.05997025,0.0,0.0,2.9974296
Argentina,1974,0.06100323,0.0,0.0,4.994663
Argentina,1975,0.063990325,0.0,0.0,5.1947746
Argentina,1976,0.060962547,0.0,0.0,5.014902
Argentina,1977,0.064003065,0.0,0.0,5.7667804
Argentina,1978,0.06397281,0.0,0.0,7.7466183
Argentina,1979,0.09498376,0.0,0.0,10.656913
Argentina,1980,0.09901763,0.0,0.0,15.140881
Argentina,1981,0.08701801,0.0,0.0,14.684794
Argentina,1982,0.1149734,0.0,0.0,17.592196
Argentina,1983,0.15497561,0.0,0.0,18.41851
Argentina,1984,0.11498845,0.0,0.0,19.877867
Argentina,1985,0.12000641,0.0,0.0,20.653124
Argentina,1986,0.123990245,0.0,0.0,21.030247
Argentina,1987,0.10598629,0.0,0.0,21.912518
Argentina,1988,0.12296129,0.0,0.0,15.259144
