Entity,Year,Renewables (% equivalent primary energy)
Algeria,1965,4.7630677
Algeria,1966,3.518747
Algeria,1967,4.2919536
Algeria,1968,5.4861946
Algeria,1969,3.1827636
Algeria,1970,4.6656837
Algeria,1971,2.4559188
Algeria,1972,3.2783434
Algeria,1973,4.175826
Algeria,1974,2.494738
Algeria,1975,1.3782818
Algeria,1976,1.4010223
Algeria,1977,0.88172823
Algeria,1978,0.6521151
Algeria,1979,0.5792936
Algeria,1980,0.4290016
Algeria,1981,0.5029403
Algeria,1982,0.57087004
Algeria,1983,0.25644946
Algeria,1984,0.51367354
Algeria,1985,0.72826535
Algeria,1986,0.26640448
Algeria,1987,0.5174273
Algeria,1988,0.17717436
Algeria,1989,0.22495823
Algeria,1990,0.1267387
Algeria,1991,0.277607
Algeria,1992,0.18375747
Algeria,1993,0.35028014
Algeria,1994,0.16257899
Algeria,1995,0.1822476
Algeria,1996,0.1288034
Algeria,1997,0.0744559
Algeria,1998,0.20617962
Algeria,1999,0.19274342
Algeria,2000,0.053235482
Algeria,2001,0.065218486
Algeria,2002,0.05167677
Algeria,2003,0.228104
Algeria,2004,0.2067869
Algeria,2005,0.43411878
Algeria,2006,0.16327195
Algeria,2007,0.15990457
Algeria,2008,0.1877543
Algeria,2009,0.21278548
Algeria,2010,0.11513238
Algeria,2011,0.2352599
Algeria,2012,0.22453195
Algeria,2013,0.064763196
Algeria,2014,0.117502466
Algeria,2015,0.096813366
Algeria,2016,0.14580712
Algeria,2017,0.24701829
Algeria,2018,0.28767928
Algeria,2019,0.29474697
Algeria,2020,0.29789943
Algeria,2021,0.26136735
Argentina,1965,1.1027236
Argentina,1966,1.0818976
Argentina,1967,1.0765653
Argentina,1968,1.2273394
Argentina,1969,1.0651699
Argentina,1970,1.3534116
Argentina,1971,1.2703215
Argentina,1972,1.2349966
Argentina,1973,2.2836952
Argentina,1974,3.6298018
Argentina,1975,3.862203
Argentina,1976,3.5544236
Argentina,1977,3.9092395
Argentina,1978,5.2276783
Argentina,1979,6.7023063
Argentina,1980,9.552859
Argentina,1981,9.541531
Argentina,1982,11.229479
Argentina,1983,11.303474
Argentina,1984,12.132671
Argentina,1985,12.759556
Argentina,1986,12.298526
Argentina,1987,12.247486
Argentina,1988,8.417367
Argentina,1989,7.5435934
Argentina,1990,10.292679
Argentina,1991,9.081444
Argentina,1992,10.206743
Argentina,1993,12.216533
Argentina,1994,13.306406
Argentina,1995,12.535519
Argentina,1996,10.225038
Argentina,1997,12.514141
Argentina,1998,11.482152
Argentina,1999,9.226557
Argentina,2000,12.283858
Argentina,2001,15.937488
Argentina,2002,16.249306
Argentina,2003,14.408259
Argentina,2004,12.1855755
Argentina,2005,12.788524
Argentina,2006,13.449462
Argentina,2007,10.599154
Argentina,2008,10.437064
Argentina,2009,11.783506
Argentina,2010,11.661375
Argentina,2011,10.929448
Argentina,2012,10.216426
Argentina,2013,10.950079
Argentina,2014,11.038978
Argentina,2015,10.907397
Argentina,2016,10.167007
Argentina,2017,10.964719
Argentina,2018,11.39763
Argentina,2019,11.926772
Argentina,2020,12.179417
Argentina,2021,11.329249
Australia,1965,5.5626216
Australia,1966,5.0718946
Australia,1967,4.9495487
Australia,1968,4.8654675
Australia,1969,5.086988
Australia,1970,5.4214506
Australia,1971,5.822727
Australia,1972,5.599285
Australia,1973,5.5886645
Australia,1974,5.9551096
Australia,1975,6.297008
Australia,1976,5.7934213
Australia,1977,5.269775
Australia,1978,5.508696
Australia,1979,5.1658406
Australia,1980,4.862272
Australia,1981,4.9303546
Australia,1982,4.6367826
Australia,1983,4.5344815
Australia,1984,4.7184544
Australia,1985,4.863155
Australia,1986,4.7985597
Australia,1987,4.532893
Australia,1988,4.6416802
Australia,1989,4.4199533
Australia,1990,4.459391
Australia,1991,4.7400618
Australia,1992,4.731717
Australia,1993,4.7594285
Australia,1994,4.5271807
Australia,1995,4.239725
Australia,1996,4.236591
Australia,1997,4.1458387
Australia,1998,4.037756
Australia,1999,4.0089335
Australia,2000,3.9888778
Australia,2001,3.870762
Australia,2002,3.9314504
Australia,2003,4.014969
Australia,2004,4.0365605
Australia,2005,4.3135533
Australia,2006,4.233413
Australia,2007,3.9767227
Australia,2008,3.6813264
Australia,2009,3.9202662
Australia,2010,4.3128047
Australia,2011,5.698981
Australia,2012,5.700209
Australia,2013,6.525869
Australia,2014,5.979823
Australia,2015,6.290021
Australia,2016,7.1891756
Australia,2017,6.750127
Australia,2018,8.300061
Australia,2019,8.880722
